source_row,scopus_id,doi,title,journal,publication_year,keywords,corresponding_author_country,cited_by_count,policy_claim_via_terms,DB review,DB notes,EC review,EC notes,DB notes.1,Unnamed: 15,MW review,MW notes,discrepant?,db re-review,llm_policy_claim,reasoning,EC re-review,EC reasoning,Unnamed: 24,agreed_gold_standard,agreed_gold_standard_with_exclusions,exclusion reason,ok,jev_p_yes,jev_policy_claim,jev_choice,jev_choice_p_yes,jev_choice_confidence,jev_input_tokens,jev_output_tokens,jev_cost_usd,jev_latency_ms,jev_attempts,jev_model,jev_request_id,jev_error,jev_questions_hash,jev_timestamp
0,SCOPUS_ID:78650633722,10.1093/aje/kwq345,"Adult body size, hormone receptor status, and premenopausal breast cancer risk in a multiethnic population",American Journal of Epidemiology,2011.0,"['African Americans', 'body size', 'breast neoplasms', 'Hispanic Americans', 'premenopause', 'receptors, estrogen', 'receptors, progesterone']",United States,59.0,0.0,0.0,,0.0,,,,,,,,0.0,,False,,,False,False,,True,0.02,False,no,0.0,1.0,1786,50,7.5012e-05,720.6767500028946,1,typesafe/jev-1.13-20260917,gen-dec-1789843176-crCGs4b1p797IGE2S7A4,,1d16b25dcca8,2026-09-19T18:39:36+00:00
1,SCOPUS_ID:0032978484,10.2105/AJPH.89.2.171,"The impact of physician bonuses, enhanced fees, and feedback on childhood immunization coverage rates",American Journal of Public Health,1999.0,[],United States,139.0,0.0,0.0,marginal,0.0,The final statement is strong but not really a policy recommendation - hard one. ,agree - may be intrinsic limit of LLMs,,,,,,0.0,,False,,,False,False,,True,0.62,True,yes,0.71,0.42,1641,50,6.8922e-05,739.871541998582,1,typesafe/jev-1.13-20260917,gen-dec-1789843176-cCs2XvHtuFjsY1FuhIpV,,1d16b25dcca8,2026-09-19T18:39:36+00:00
2,SCOPUS_ID:0032931075,10.1093/oxfordjournals.aje.a009723,Prospective study of diet and ovarian cancer,American Journal of Epidemiology,1999.0,"['Diet', 'Nutrition', 'Ovarian neoplasms', 'Postmenopausal', 'Prospective studies', 'Risk', 'Risk factors']",United States,201.0,0.0,0.0,,0.0,,,,,,,,0.0,,False,,,False,False,,True,0.03,False,no,0.0,1.0,1807,50,7.5894e-05,675.1282080076635,1,typesafe/jev-1.13-20260917,gen-dec-1789843176-U3y7makYL9hDuiUv4v4C,,1d16b25dcca8,2026-09-19T18:39:36+00:00
3,SCOPUS_ID:85066260594,10.1016/S2468-2667(19)30018-0,"Geospatial, racial, and educational variation in firearm mortality in the USA, Mexico, Brazil, and Colombia, 1990â€“2015: a comparative analysis of vital statistics data",The Lancet Public Health,2019.0,[],Mexico,26.0,0.0,0.0,marginal,0.0,I think it is worded carefully ('could'). Is the use of conditional something we could add to our algorithm?,"I don't think so for the terms approach. For the analysis in which study design is correlated with claims, we can manually screen the ""made policy claim"" group.",,,,,,1.0,,False,,,False,False,,True,0.43,False,no,0.46,0.09,2149,50,9.0258e-05,729.0951249888167,1,typesafe/jev-1.13-20260917,gen-dec-1789843176-6KlsQFlCmQ2nH63VgaHY,,1d16b25dcca8,2026-09-19T18:39:36+00:00
4,SCOPUS_ID:84895890934,10.1093/aje/kwt327,"Trends in alcohol and other drugs detected in fatally injured drivers in the United States, 1999-2010",American Journal of Epidemiology,2014.0,"['accidents', 'alcohol consumption', 'cannabinoids', 'drug users', 'motor vehicles', 'prescription drugs', 'safety', 'traffic']",United States,168.0,0.0,0.0,,0.0,,,,,,,,0.0,,False,,,False,False,,True,0.04,False,no,0.0,1.0,1666,50,6.9972e-05,785.6189169979189,1,typesafe/jev-1.13-20260917,gen-dec-1789843176-qOJ6imZzWLlGmUjTbwox,,1d16b25dcca8,2026-09-19T18:39:36+00:00
5,SCOPUS_ID:84912129265,10.1016/j.amepre.2014.08.009,"Adult vaccination disparities among foreign-born populations in the u.s., 2012",American Journal of Preventive Medicine,2014.0,[],United States,65.0,0.0,0.0,n/a abstract,0.0,"I dont know how frequent that is, but we might want to remove these?",edited scripts to exclude abstracts <100 words,,,,,,0.0,,False,"not applicable here, not really an abstract",,False,,incomplete abstract,True,0.03,False,no,0.0,1.0,1382,50,5.8044e-05,761.7195829807315,1,typesafe/jev-1.13-20260917,gen-dec-1789843176-TJMRFlJ6YcDbM7loRHO6,,1d16b25dcca8,2026-09-19T18:39:36+00:00
6,SCOPUS_ID:69549088896,10.1097/EDE.0b013e3181ad5522,Extreme high temperatures and hospital admissions for respiratory and cardiovascular diseases,Epidemiology,2009.0,[],United States,366.0,0.0,0.0,,0.0,,,,,,,,0.0,,False,,,False,False,,True,0.04,False,no,0.0,1.0,1739,50,7.3038e-05,720.8102090226021,1,typesafe/jev-1.13-20260917,gen-dec-1789843176-DJF8PzumpJcoKUN9Yb8b,,1d16b25dcca8,2026-09-19T18:39:36+00:00
7,SCOPUS_ID:85088828588,10.1007/s10654-020-00665-w,Body mass index in young adulthood and risk of subsequent dementia at different levels of intelligence and education in Danish men,European Journal of Epidemiology,2020.0,"['Body mass index', 'Cohort study', 'Dementia', 'Intelligence']",Denmark,5.0,0.0,0.0,,0.0,,,,,,,,0.0,,False,,,False,False,,True,0.02,False,no,0.0,1.0,1686,50,7.0812e-05,712.7244579896796,1,typesafe/jev-1.13-20260917,gen-dec-1789843176-Cv5bJMDWDUODL7G954LY,,1d16b25dcca8,2026-09-19T18:39:36+00:00
8,SCOPUS_ID:85054204629,10.1093/aje/kwy091,"Ramadan Exposure in Utero and Child Mortality in Burkina Faso: Analysis of a Population-Based Cohort Including 41,025 Children",American Journal of Epidemiology,2018.0,"['child mortality', 'difference in differences', 'population-based cohort', 'pregnancy', 'prenatal exposure delayed effects', 'Ramadan', 'sub-Saharan Africa']",Germany,24.0,0.0,0.0,"overly bold conclusion, but not a policy claims",0.0,"Agreed, maybe the tense is important here - can vs could.","good, in which case all agree",,,,,,0.0,,False,,,False,False,,True,0.05,False,no,0.0,1.0,1702,50,7.1484e-05,282.96770798624493,1,typesafe/jev-1.13-20260917,gen-dec-1789843176-7Nj3Al13RroK98xHF0Ra,,1d16b25dcca8,2026-09-19T18:39:37+00:00
9,SCOPUS_ID:84946734426,10.2105/AJPH.2015.302611,Health care disparities in the post-affordable care act era,American Journal of Public Health,2015.0,[],United States,73.0,0.0,0.0,n/a abstract,0.0,,,,,,,,1.0,,False,"not applicable here, not really an abstract",,False,,incomplete abstract,True,0.29,False,no,0.14,0.71,1416,50,5.9472e-05,298.3579580031801,1,typesafe/jev-1.13-20260917,gen-dec-1789843176-hIqQvZsSF0e2PXhYTXHE,,1d16b25dcca8,2026-09-19T18:39:37+00:00
10,SCOPUS_ID:45549105637,10.2105/AJPH.2007.121137,Prevalence of chronic diseases and multimorbidity among the elderly population in Sweden,American Journal of Public Health,2008.0,[],Sweden,312.0,0.0,0.0,,0.0,,,,,,,,0.0,,False,,,False,False,,True,0.06,False,no,0.0,1.0,1471,50,6.1782e-05,917.3793329973705,1,typesafe/jev-1.13-20260917,gen-dec-1789843177-9LzF8i2EDeHLRQciK9Zj,,1d16b25dcca8,2026-09-19T18:39:37+00:00
11,SCOPUS_ID:0025121054,10.2105/AJPH.80.9.1101,The effects of workplace health promotion on absenteeism and employment costs in a large industrial population,American Journal of Public Health,1990.0,[],United States,161.0,0.0,0.0,,0.0,,,,,,,,0.0,,False,,,False,False,,True,0.26,False,no,0.16,0.68,1552,50,6.5184e-05,279.7696659981739,1,typesafe/jev-1.13-20260917,gen-dec-1789843176-zLyntYz4nVLyWltFJ4Tj,,1d16b25dcca8,2026-09-19T18:39:37+00:00
12,SCOPUS_ID:84875598366,10.1093/ije/dys214,Consistently high estimates for the proportion of human exposure to malaria vector populations occurring indoors in rural Africa,International Journal of Epidemiology,2013.0,"['Behavior', 'Exposure', 'Malaria', 'Plasmodium', 'Transmission', 'Vector']",Burkina Faso,129.0,0.0,0.0,marginal - research is called for not policy?,0.0,"Yes research recommendation, not sure how to filter those, maybe iterations of further research needed ",I added to the LLM prompt that research recommendations don't count as policy recommendations; they might not be able to distinguish. New prompt=FALSE,,,,,,0.0,,False,,,False,False,,True,0.36,False,no,0.29,0.42,1768,50,7.4256e-05,350.12016698601656,1,typesafe/jev-1.13-20260917,gen-dec-1789843176-hI7PytqoB4HfZ3hjGZQ4,,1d16b25dcca8,2026-09-19T18:39:37+00:00
13,SCOPUS_ID:85045210606,10.1016/j.amepre.2018.01.008,Changes in School Food Preparation Methods Result in Healthier Cafeteria Lunches in Elementary Schools,American Journal of Preventive Medicine,2018.0,[],United States,8.0,0.0,0.0,,0.0,,,,,,,,0.0,,False,,,False,False,,True,0.26,False,no,0.19,0.62,1869,50,7.8498e-05,393.08816599077545,1,typesafe/jev-1.13-20260917,gen-dec-1789843176-1ufN3Ww3w5y0pmDmcVhX,,1d16b25dcca8,2026-09-19T18:39:37+00:00
14,SCOPUS_ID:0031194498,10.1006/pmed.1997.0151,Epidemiology of low total plasma cholesterol concentration among young adults: The CARDIA study,Preventive Medicine,1997.0,"['Cholesterol', 'Risk factors', 'Young adults']",United States,9.0,0.0,0.0,,0.0,,,,,,,,0.0,,False,,,False,False,,True,0.04,False,no,0.0,1.0,2135,50,8.967e-05,303.40195799362846,1,typesafe/jev-1.13-20260917,gen-dec-1789843176-BD34I9ZPrx0IWbqUxoS9,,1d16b25dcca8,2026-09-19T18:39:37+00:00
15,SCOPUS_ID:0029924623,10.1097/00001648-199605000-00011,Silica and aluminum in drinking water and cognitive impairment in the elderly,Epidemiology,1996.0,"['aluminum', ""Alzheimer's disease"", 'cognitive impairment', 'dementia', 'drinking water', 'elderly', 'silicon']",France,63.0,0.0,0.0,,0.0,,,,,,,,0.0,,False,,,False,False,,True,0.05,False,no,0.0,0.99,1570,50,6.594e-05,286.1901249852963,1,typesafe/jev-1.13-20260917,gen-dec-1789843176-P6x43HPv96dHmda6heB1,,1d16b25dcca8,2026-09-19T18:39:37+00:00
16,SCOPUS_ID:85102828933,10.1016/j.ypmed.2021.106507,Associations between indicators of energy intake and expenditure with excess weight and obesity among women in sedentary and less-sedentary jobs,Preventive Medicine,2021.0,"['Dietary questionnaire for epidemiological studies', 'Energy balance', 'Obesity', 'Physical activity', 'Saturated fat', 'Sedentary work', 'Sugar sweetened beverages']",Australia,1.0,0.0,0.0,,0.0,,,,,,,,0.0,,False,,,False,False,,True,0.03,False,no,0.0,1.0,1741,50,7.3122e-05,296.4426250255201,1,typesafe/jev-1.13-20260917,gen-dec-1789843177-cK1AJiyT8hMUcz2ARMY3,,1d16b25dcca8,2026-09-19T18:39:37+00:00
