source_row,scopus_id,doi,title,journal,publication_year,keywords,corresponding_author_country,cited_by_count,policy_claim_via_terms,DB review,DB notes...12,EC review,EC notes,DB notes...15,...16,MW review,MW notes,discrepant?,db re-review,llm_policy_claim,reasoning,EC re-review,EC reasoning,...25,agreed_gold_standard,agreed_gold_standard_with_exclusions,exclusion reason,ok,jev_p_yes,jev_policy_claim,jev_choice,jev_choice_p_yes,jev_choice_confidence,jev_input_tokens,jev_output_tokens,jev_cost_usd,jev_latency_ms,jev_attempts,jev_model,jev_request_id,jev_error,jev_questions_hash,jev_timestamp
0,SCOPUS_ID:78650633722,10.1093/aje/kwq345,"Adult body size, hormone receptor status, and premenopausal breast cancer risk in a multiethnic population",American Journal of Epidemiology,2011,"['African Americans', 'body size', 'breast neoplasms', 'Hispanic Americans', 'premenopause', 'receptors, estrogen', 'receptors, progesterone']",United States,59,FALSE,FALSE,,FALSE,,,,,,,,FALSE,,FALSE,,,FALSE,FALSE,,TRUE,0.02,FALSE,no,0,1,1786,50,7.5012e-5,392.018,,typesafe/jev-1.13-20260917,gen-dec-1789843870-KSUWHvHsFOBKRZ59WtXE,,1d16b25dcca8,2026-09-19T18:51:19+0000
1,SCOPUS_ID:0032978484,10.2105/AJPH.89.2.171,"The impact of physician bonuses, enhanced fees, and feedback on childhood immunization coverage rates",American Journal of Public Health,1999,[],United States,139,FALSE,FALSE,marginal,FALSE,The final statement is strong but not really a policy recommendation - hard one.,agree - may be intrinsic limit of LLMs,,,,,,FALSE,,FALSE,,,FALSE,FALSE,,TRUE,0.61,TRUE,yes,0.74,0.48,1641,50,6.8922e-5,321.16299999999995,,typesafe/jev-1.13-20260917,gen-dec-1789843870-3ITMH9OGaTCZEP8L4rEe,,1d16b25dcca8,2026-09-19T18:51:19+0000
2,SCOPUS_ID:0032931075,10.1093/oxfordjournals.aje.a009723,Prospective study of diet and ovarian cancer,American Journal of Epidemiology,1999,"['Diet', 'Nutrition', 'Ovarian neoplasms', 'Postmenopausal', 'Prospective studies', 'Risk', 'Risk factors']",United States,201,FALSE,FALSE,,FALSE,,,,,,,,FALSE,,FALSE,,,FALSE,FALSE,,TRUE,0.02,FALSE,no,0,1,1807,50,7.5894e-5,963.394,,typesafe/jev-1.13-20260917,gen-dec-1789843871-NGfYXJV6qMt2Z3wc7p8W,,1d16b25dcca8,2026-09-19T18:51:19+0000
3,SCOPUS_ID:85066260594,10.1016/S2468-2667(19)30018-0,"Geospatial, racial, and educational variation in firearm mortality in the USA, Mexico, Brazil, and Colombia, 1990â€“2015: a comparative analysis of vital statistics data",The Lancet Public Health,2019,[],Mexico,26,FALSE,FALSE,marginal,FALSE,I think it is worded carefully ('could'). Is the use of conditional something we could add to our algorithm?,"I don't think so for the terms approach. For the analysis in which study design is correlated with claims, we can manually screen the ""made policy claim"" group.",,,,,,TRUE,,FALSE,,,FALSE,FALSE,,TRUE,0.47,FALSE,no,0.49,0.02,2149,50,9.0258e-5,368.036,,typesafe/jev-1.13-20260917,gen-dec-1789843870-1enCx689AmWBi5m3zFOQ,,1d16b25dcca8,2026-09-19T18:51:19+0000
4,SCOPUS_ID:84895890934,10.1093/aje/kwt327,"Trends in alcohol and other drugs detected in fatally injured drivers in the United States, 1999-2010",American Journal of Epidemiology,2014,"['accidents', 'alcohol consumption', 'cannabinoids', 'drug users', 'motor vehicles', 'prescription drugs', 'safety', 'traffic']",United States,168,FALSE,FALSE,,FALSE,,,,,,,,FALSE,,FALSE,,,FALSE,FALSE,,TRUE,0.04,FALSE,no,0,1,1666,50,6.9972e-5,357.255,,typesafe/jev-1.13-20260917,gen-dec-1789843870-eeRyVtj8PbkwdQ2u8ef5,,1d16b25dcca8,2026-09-19T18:51:19+0000
5,SCOPUS_ID:84912129265,10.1016/j.amepre.2014.08.009,"Adult vaccination disparities among foreign-born populations in the u.s., 2012",American Journal of Preventive Medicine,2014,[],United States,65,FALSE,FALSE,n/a abstract,FALSE,"I dont know how frequent that is, but we might want to remove these?",edited scripts to exclude abstracts <100 words,,,,,,FALSE,,FALSE,"not applicable here, not really an abstract",,FALSE,,incomplete abstract,TRUE,0.03,FALSE,no,0,1,1382,50,5.8044e-5,1062.672,,typesafe/jev-1.13-20260917,gen-dec-1789843871-1wEjzBEXIFv4Skbz1pSP,,1d16b25dcca8,2026-09-19T18:51:19+0000
6,SCOPUS_ID:69549088896,10.1097/EDE.0b013e3181ad5522,Extreme high temperatures and hospital admissions for respiratory and cardiovascular diseases,Epidemiology,2009,[],United States,366,FALSE,FALSE,,FALSE,,,,,,,,FALSE,,FALSE,,,FALSE,FALSE,,TRUE,0.04,FALSE,no,0,1,1739,50,7.3038e-5,1034.14,,typesafe/jev-1.13-20260917,gen-dec-1789843871-82BvdWxBr5mO6eWeiXMo,,1d16b25dcca8,2026-09-19T18:51:19+0000
7,SCOPUS_ID:85088828588,10.1007/s10654-020-00665-w,Body mass index in young adulthood and risk of subsequent dementia at different levels of intelligence and education in Danish men,European Journal of Epidemiology,2020,"['Body mass index', 'Cohort study', 'Dementia', 'Intelligence']",Denmark,5,FALSE,FALSE,,FALSE,,,,,,,,FALSE,,FALSE,,,FALSE,FALSE,,TRUE,0.03,FALSE,no,0,1,1686,50,7.0812e-5,1072.171,,typesafe/jev-1.13-20260917,gen-dec-1789843871-Hf68SX8KQtSaNw8pgCVt,,1d16b25dcca8,2026-09-19T18:51:19+0000
8,SCOPUS_ID:85054204629,10.1093/aje/kwy091,"Ramadan Exposure in Utero and Child Mortality in Burkina Faso: Analysis of a Population-Based Cohort Including 41,025 Children",American Journal of Epidemiology,2018,"['child mortality', 'difference in differences', 'population-based cohort', 'pregnancy', 'prenatal exposure delayed effects', 'Ramadan', 'sub-Saharan Africa']",Germany,24,FALSE,FALSE,"overly bold conclusion, but not a policy claims",FALSE,"Agreed, maybe the tense is important here - can vs could.","good, in which case all agree",,,,,,FALSE,,FALSE,,,FALSE,FALSE,,TRUE,0.05,FALSE,no,0,1,1702,50,7.1484e-5,1066.995,,typesafe/jev-1.13-20260917,gen-dec-1789843871-v4TyvQHOZpxOf7qSV3Gr,,1d16b25dcca8,2026-09-19T18:51:19+0000
9,SCOPUS_ID:84946734426,10.2105/AJPH.2015.302611,Health care disparities in the post-affordable care act era,American Journal of Public Health,2015,[],United States,73,FALSE,FALSE,n/a abstract,FALSE,,,,,,,,TRUE,,FALSE,"not applicable here, not really an abstract",,FALSE,,incomplete abstract,TRUE,0.28,FALSE,no,0.15,0.69,1416,50,5.9472e-5,659.205,,typesafe/jev-1.13-20260917,gen-dec-1789843871-FKAySNoS0LCpFm935jAG,,1d16b25dcca8,2026-09-19T18:51:19+0000
10,SCOPUS_ID:45549105637,10.2105/AJPH.2007.121137,Prevalence of chronic diseases and multimorbidity among the elderly population in Sweden,American Journal of Public Health,2008,[],Sweden,312,FALSE,FALSE,,FALSE,,,,,,,,FALSE,,FALSE,,,FALSE,FALSE,,TRUE,0.06,FALSE,no,0,1,1471,50,6.1782e-5,626.552,,typesafe/jev-1.13-20260917,gen-dec-1789843871-4JLLnM9gUXSJdzDmYW2a,,1d16b25dcca8,2026-09-19T18:51:19+0000
11,SCOPUS_ID:0025121054,10.2105/AJPH.80.9.1101,The effects of workplace health promotion on absenteeism and employment costs in a large industrial population,American Journal of Public Health,1990,[],United States,161,FALSE,FALSE,,FALSE,,,,,,,,FALSE,,FALSE,,,FALSE,FALSE,,TRUE,0.23,FALSE,no,0.11,0.78,1552,50,6.5184e-5,695.7529999999999,,typesafe/jev-1.13-20260917,gen-dec-1789843871-DZHvoIO1c9MyPx1pyi9D,,1d16b25dcca8,2026-09-19T18:51:19+0000
12,SCOPUS_ID:84875598366,10.1093/ije/dys214,Consistently high estimates for the proportion of human exposure to malaria vector populations occurring indoors in rural Africa,International Journal of Epidemiology,2013,"['Behavior', 'Exposure', 'Malaria', 'Plasmodium', 'Transmission', 'Vector']",Burkina Faso,129,FALSE,FALSE,marginal - research is called for not policy?,FALSE,"Yes research recommendation, not sure how to filter those, maybe iterations of further research needed",I added to the LLM prompt that research recommendations don't count as policy recommendations; they might not be able to distinguish. New prompt=FALSE,,,,,,FALSE,,FALSE,,,FALSE,FALSE,,TRUE,0.37,FALSE,no,0.31,0.39,1768,50,7.4256e-5,672.55,,typesafe/jev-1.13-20260917,gen-dec-1789843871-lvBtnuFVIgOizhL49T1A,,1d16b25dcca8,2026-09-19T18:51:19+0000
13,SCOPUS_ID:85045210606,10.1016/j.amepre.2018.01.008,Changes in School Food Preparation Methods Result in Healthier Cafeteria Lunches in Elementary Schools,American Journal of Preventive Medicine,2018,[],United States,8,FALSE,FALSE,,FALSE,,,,,,,,FALSE,,FALSE,,,FALSE,FALSE,,TRUE,0.27,FALSE,no,0.16,0.69,1869,50,7.8498e-5,314.21500000000003,,typesafe/jev-1.13-20260917,gen-dec-1789843871-AYhsubrAjjOUyrMrAN1W,,1d16b25dcca8,2026-09-19T18:51:19+0000
14,SCOPUS_ID:0031194498,10.1006/pmed.1997.0151,Epidemiology of low total plasma cholesterol concentration among young adults: The CARDIA study,Preventive Medicine,1997,"['Cholesterol', 'Risk factors', 'Young adults']",United States,9,FALSE,FALSE,,FALSE,,,,,,,,FALSE,,FALSE,,,FALSE,FALSE,,TRUE,0.04,FALSE,no,0,1,2135,50,8.967e-5,315.29699999999997,,typesafe/jev-1.13-20260917,gen-dec-1789843871-noBUIke6CTDzXGrEi4Wn,,1d16b25dcca8,2026-09-19T18:51:19+0000
15,SCOPUS_ID:0029924623,10.1097/00001648-199605000-00011,Silica and aluminum in drinking water and cognitive impairment in the elderly,Epidemiology,1996,"['aluminum', ""Alzheimer's disease"", 'cognitive impairment', 'dementia', 'drinking water', 'elderly', 'silicon']",France,63,FALSE,FALSE,,FALSE,,,,,,,,FALSE,,FALSE,,,FALSE,FALSE,,TRUE,0.05,FALSE,no,0,0.99,1570,50,6.594e-5,315.198,,typesafe/jev-1.13-20260917,gen-dec-1789843871-slcgiDRLFb2zsxtyBpiP,,1d16b25dcca8,2026-09-19T18:51:19+0000
16,SCOPUS_ID:85102828933,10.1016/j.ypmed.2021.106507,Associations between indicators of energy intake and expenditure with excess weight and obesity among women in sedentary and less-sedentary jobs,Preventive Medicine,2021,"['Dietary questionnaire for epidemiological studies', 'Energy balance', 'Obesity', 'Physical activity', 'Saturated fat', 'Sedentary work', 'Sugar sweetened beverages']",Australia,1,FALSE,FALSE,,FALSE,,,,,,,,FALSE,,FALSE,,,FALSE,FALSE,,TRUE,0.03,FALSE,no,0,1,1741,50,7.3122e-5,787.694,,typesafe/jev-1.13-20260917,gen-dec-1789843872-ICkU5EKZqEBbkhlQC7G7,,1d16b25dcca8,2026-09-19T18:51:19+0000
17,SCOPUS_ID:0141997855,10.1093/aje/kwg218,"Differences in body shape representations among young adults from a biracial (Black-White), semirural community: The Bogalusa Heart Study",American Journal of Epidemiology,2003,"['Blacks', 'Body image', 'Body mass index', 'Body weight', 'Perception', 'Psychology', 'Whites']",United States,84,FALSE,TRUE,"""This has implications"" - marginal, but still…",TRUE,"Hard one, they do say policy implications but without specifying.","LLM prompt edited for generic ""this has policy implications"" abstracts. New prompt=TRUE",,,,,,TRUE,,TRUE,,,TRUE,TRUE,,TRUE,0.83,TRUE,yes,0.97,0.94,1693,50,7.1106e-5,1041.371,,typesafe/jev-1.13-20260917,gen-dec-1789843872-DYZJCZDuzEpvQyIHgU5a,,1d16b25dcca8,2026-09-19T18:51:19+0000
18,SCOPUS_ID:85195147269,10.1007/s10654-024-01134-4,Trends in incidence and mortality of early-onset cancer in Germany between 1999 and 2019,European Journal of Epidemiology,2024,"['Cancer', 'Germany', 'Incidence', 'Mortality']",Germany,1,FALSE,TRUE,,TRUE,We recommend followed by policy,,,,,,,TRUE,,TRUE,,,TRUE,TRUE,,TRUE,0.96,TRUE,yes,1,1,1666,50,6.9972e-5,878.885,,typesafe/jev-1.13-20260917,gen-dec-1789843872-pZEOqqiLcLvOSykeIHiR,,1d16b25dcca8,2026-09-19T18:51:19+0000
