source_row,scopus_id,doi,title,journal,publication_year,keywords,corresponding_author_country,cited_by_count,policy_claim_via_terms,DB review,DB notes...12,EC review,EC notes,DB notes...15,...16,MW review,MW notes,discrepant?,db re-review,llm_policy_claim,reasoning,EC re-review,EC reasoning,...25,agreed_gold_standard,agreed_gold_standard_with_exclusions,exclusion reason,ok,jev_p_yes,jev_policy_claim,jev_choice,jev_choice_p_yes,jev_choice_confidence,jev_input_tokens,jev_output_tokens,jev_cost_usd,jev_latency_ms,jev_attempts,jev_model,jev_request_id,jev_error,jev_questions_hash,jev_timestamp
0,SCOPUS_ID:78650633722,10.1093/aje/kwq345,"Adult body size, hormone receptor status, and premenopausal breast cancer risk in a multiethnic population",American Journal of Epidemiology,2011,"['African Americans', 'body size', 'breast neoplasms', 'Hispanic Americans', 'premenopause', 'receptors, estrogen', 'receptors, progesterone']",United States,59,FALSE,FALSE,,FALSE,,,,,,,,FALSE,,FALSE,,,FALSE,FALSE,,TRUE,0.02,FALSE,no,0,1,1786,50,7.5012e-5,1148.813,,typesafe/jev-1.13-20260917,gen-dec-1789843846-uK69Drn9jDq5omBwcQj2,,1d16b25dcca8,2026-09-19T18:50:57+0000
1,SCOPUS_ID:0032978484,10.2105/AJPH.89.2.171,"The impact of physician bonuses, enhanced fees, and feedback on childhood immunization coverage rates",American Journal of Public Health,1999,[],United States,139,FALSE,FALSE,marginal,FALSE,The final statement is strong but not really a policy recommendation - hard one.,agree - may be intrinsic limit of LLMs,,,,,,FALSE,,FALSE,,,FALSE,FALSE,,TRUE,0.6,TRUE,yes,0.74,0.47,1641,50,6.8922e-5,352.18699999999995,,typesafe/jev-1.13-20260917,gen-dec-1789843845-1CPjVgdODeWVoRyhb8tO,,1d16b25dcca8,2026-09-19T18:50:57+0000
2,SCOPUS_ID:0032931075,10.1093/oxfordjournals.aje.a009723,Prospective study of diet and ovarian cancer,American Journal of Epidemiology,1999,"['Diet', 'Nutrition', 'Ovarian neoplasms', 'Postmenopausal', 'Prospective studies', 'Risk', 'Risk factors']",United States,201,FALSE,FALSE,,FALSE,,,,,,,,FALSE,,FALSE,,,FALSE,FALSE,,TRUE,0.03,FALSE,no,0,1,1807,50,7.5894e-5,402.223,,typesafe/jev-1.13-20260917,gen-dec-1789843845-ygZDewQzQORBifgHh8fg,,1d16b25dcca8,2026-09-19T18:50:57+0000
3,SCOPUS_ID:85066260594,10.1016/S2468-2667(19)30018-0,"Geospatial, racial, and educational variation in firearm mortality in the USA, Mexico, Brazil, and Colombia, 1990â€“2015: a comparative analysis of vital statistics data",The Lancet Public Health,2019,[],Mexico,26,FALSE,FALSE,marginal,FALSE,I think it is worded carefully ('could'). Is the use of conditional something we could add to our algorithm?,"I don't think so for the terms approach. For the analysis in which study design is correlated with claims, we can manually screen the ""made policy claim"" group.",,,,,,TRUE,,FALSE,,,FALSE,FALSE,,TRUE,0.49,FALSE,yes,0.52,0.04,2149,50,9.0258e-5,374.894,,typesafe/jev-1.13-20260917,gen-dec-1789843845-kPUH4NxrTaKKwBGJkHBd,,1d16b25dcca8,2026-09-19T18:50:57+0000
4,SCOPUS_ID:84895890934,10.1093/aje/kwt327,"Trends in alcohol and other drugs detected in fatally injured drivers in the United States, 1999-2010",American Journal of Epidemiology,2014,"['accidents', 'alcohol consumption', 'cannabinoids', 'drug users', 'motor vehicles', 'prescription drugs', 'safety', 'traffic']",United States,168,FALSE,FALSE,,FALSE,,,,,,,,FALSE,,FALSE,,,FALSE,FALSE,,TRUE,0.04,FALSE,no,0,1,1666,50,6.9972e-5,367.233,,typesafe/jev-1.13-20260917,gen-dec-1789843845-rYsY7ASHWaDWYeUDUgXI,,1d16b25dcca8,2026-09-19T18:50:57+0000
5,SCOPUS_ID:84912129265,10.1016/j.amepre.2014.08.009,"Adult vaccination disparities among foreign-born populations in the u.s., 2012",American Journal of Preventive Medicine,2014,[],United States,65,FALSE,FALSE,n/a abstract,FALSE,"I dont know how frequent that is, but we might want to remove these?",edited scripts to exclude abstracts <100 words,,,,,,FALSE,,FALSE,"not applicable here, not really an abstract",,FALSE,,incomplete abstract,TRUE,0.03,FALSE,no,0,1,1382,50,5.8044e-5,1239.874,,typesafe/jev-1.13-20260917,gen-dec-1789843846-yq9vDJ1t33ZxnRH6DhSB,,1d16b25dcca8,2026-09-19T18:50:57+0000
6,SCOPUS_ID:69549088896,10.1097/EDE.0b013e3181ad5522,Extreme high temperatures and hospital admissions for respiratory and cardiovascular diseases,Epidemiology,2009,[],United States,366,FALSE,FALSE,,FALSE,,,,,,,,FALSE,,FALSE,,,FALSE,FALSE,,TRUE,0.04,FALSE,no,0,1,1739,50,7.3038e-5,1431.267,,typesafe/jev-1.13-20260917,gen-dec-1789843846-X7zgQrMZws7OJWFynsMj,,1d16b25dcca8,2026-09-19T18:50:57+0000
7,SCOPUS_ID:85088828588,10.1007/s10654-020-00665-w,Body mass index in young adulthood and risk of subsequent dementia at different levels of intelligence and education in Danish men,European Journal of Epidemiology,2020,"['Body mass index', 'Cohort study', 'Dementia', 'Intelligence']",Denmark,5,FALSE,FALSE,,FALSE,,,,,,,,FALSE,,FALSE,,,FALSE,FALSE,,TRUE,0.03,FALSE,no,0,1,1686,50,7.0812e-5,1503.8339999999998,,typesafe/jev-1.13-20260917,gen-dec-1789843846-asH5X5uSf93w1hHEZY37,,1d16b25dcca8,2026-09-19T18:50:57+0000
8,SCOPUS_ID:85054204629,10.1093/aje/kwy091,"Ramadan Exposure in Utero and Child Mortality in Burkina Faso: Analysis of a Population-Based Cohort Including 41,025 Children",American Journal of Epidemiology,2018,"['child mortality', 'difference in differences', 'population-based cohort', 'pregnancy', 'prenatal exposure delayed effects', 'Ramadan', 'sub-Saharan Africa']",Germany,24,FALSE,FALSE,"overly bold conclusion, but not a policy claims",FALSE,"Agreed, maybe the tense is important here - can vs could.","good, in which case all agree",,,,,,FALSE,,FALSE,,,FALSE,FALSE,,TRUE,0.05,FALSE,no,0,1,1702,50,7.1484e-5,755.8439999999999,,typesafe/jev-1.13-20260917,gen-dec-1789843846-LlN71OGaV7dDbGKl89Ef,,1d16b25dcca8,2026-09-19T18:50:57+0000
9,SCOPUS_ID:84946734426,10.2105/AJPH.2015.302611,Health care disparities in the post-affordable care act era,American Journal of Public Health,2015,[],United States,73,FALSE,FALSE,n/a abstract,FALSE,,,,,,,,TRUE,,FALSE,"not applicable here, not really an abstract",,FALSE,,incomplete abstract,TRUE,0.27,FALSE,no,0.15,0.7,1416,50,5.9472e-5,1508.427,,typesafe/jev-1.13-20260917,gen-dec-1789843847-uHfh7GlZZ7Va22yEjvNK,,1d16b25dcca8,2026-09-19T18:50:57+0000
